Name,Telescopes,lat,long,alt,space,url,weatherurl,note
Observatorio del Roque de los Muchachos,"Mercator, NOT, INT, GTC, TNG, WHT",28.761002,-17.886542,2396,0,http://www.iac.es/eno.php?op1=2&lang=en,https://www.schoolsobservatory.org/obs/weather?tel=lt&tscl=day&dte={mjd:}&_dy={day:.0f}&_mn={month:.0f}&_yr={year:.0f},http://catserver.ing.iac.es/weather/archive/index.php?year=2010&month=11&day=25&actionflag=showDate
ESO-Paranal,"ESO-VLT-U1, ESO-VLT-U2, ESO-VLT-U3, ESO-VLT-U4",-24.6272,-70.4048,2648,0,http://www.eso.org,http://www.eso.org/asm/ui/publicLog?name=Paranal&hoursInterval=12&startDate={year:}-{month:}-{day:}T{hour:}:{min:}:{sec:.3f},
ESO-La Silla,"NTT, EULER, MPI-2.2",-29.256363,-70.738003,2400,0,http://www.ctio.noao.edu/,http://www.eso.org/asm/ui/publicLog?name=LaSilla&hoursInterval=12&startDate={year:}-{month:}-{day:}T{hour:}:{min:}:{sec:.3f},
CTIO,SMARTS,-30.169208,-70.806198,2200,0,http://www.ctio.noao.edu/,http://www.ctio.noao.edu/noao/night-report-sky-conditions?field_nr_date_value[value][date]={month:}/{day:}/{year:},
LCO,"BAADE, CLAY",-29.017382,-70.691734,2380,0,http://www.lco.cl/,http://weather.lco.cl/clima/weather/magellan/Weathercalendar.html?date1={year:}-{month:}-{day:},
Ondrejov,Perek,49.909167,14.781535,500,0,https://stelweb.asu.cas.cz/web/,http://www.asu.cas.cz/en/about/about-the-institute,
Potsdam-University,OST,52.409216,12.973218,32,0,https://polaris.astro.physik.uni-potsdam.de/wiki/doku.php?id=en:start,,
Apache Point Observatory,SDSS 2.5-M,32.78019,-105.819878,2788,0,https://www.apo.nmsu.edu/,https://weather.apo.nmsu.edu/weather/logs/,Weather archive only has logs
Xinglong Station,LAMOST,40.395761,117.575861,960,0,http://www.lamost.org/public/?locale=en,,Weather info is stored in the fits files
TESS,TESS,0,0,0,1,https://tess.mit.edu/,,
South African Astronomical Observatory,"SALT, ACT, BISON, IRSF, KELT-south",-32.3783,20.8105,1798,0,https://www.saao.ac.za/,https://suthweather.saao.ac.za/,No weather archive
Large Binocular Telescope Observatory, LBT-DX, 32.701308, -109.889064, 3221, 0, https://www.lbto.org/,,
1.3m Alt-Az telescope of the Slovak Academy of Sciences, Astelco 1300/10400, 49, 20, 1789, 0,,,1.3m Alt-Az; Instr - MUSICOS: R ~35000; f/4
Southern Astrophysical Research Telescope, SOAR 4.1m, -30.237891667, -70.733641667, 2713, 0, https://noirlab.edu/science/programs/ctio/telescopes/soar-telescope,,
